combined	chromosome	haplotype	region	subtelomeric	acrocentric	repeat	gene
360	12	2	20	6	7	20	1
361	12	2	20	6	7	20	3
362	12	2	9	6	7	6	2
363	26	2	9	6	6	20	3
364	26	2	9	6	6	20	2
365	30	2	9	6	7	20	3
366	26	2	9	6	6	6	3
367	30	2	9	6	7	6	3
368	30	2	9	6	6	6	3
369	12	2	9	6	7	6	3
370	30	2	20	6	7	6	3
371	30	2	9	6	6	20	3
372	30	2	9	6	6	20	2
373	30	2	18	6	7	8	3
374	26	2	9	6	6	8	3
375	26	2	9	6	6	11	1
376	26	2	9	6	6	11	3
377	30	2	5	6	7	6	3
378	30	2	17	6	7	11	2
379	7	2	18	6	7	6	3
380	26	2	9	6	1	6	2
381	12	2	20	6	7	6	3
382	12	2	9	6	7	20	3
383	12	2	9	6	7	10	3
384	7	2	18	6	7	10	3
385	26	2	9	6	6	10	3
386	30	2	9	6	6	10	3
387	30	2	17	6	6	20	3
388	26	2	5	6	7	20	3
389	26	2	17	6	7	20	3
390	26	2	7	6	7	20	3
391	26	2	7	6	6	20	3
392	30	2	7	6	7	20	3
393	30	2	7	6	6	20	3
394	30	2	17	6	7	20	3
395	30	2	9	6	6	8	3
396	12	2	9	6	7	8	3
397	7	2	18	6	7	8	3
398	30	2	9	6	7	8	3
399	30	2	9	6	7	10	3
400	30	2	17	6	6	10	3
401	26	2	17	6	6	10	3
402	12	2	18	6	7	10	3
403	26	2	17	6	7	10	3
404	30	2	17	6	7	10	3
405	12	2	20	6	7	8	3
406	30	2	17	6	6	11	3
407	26	2	17	6	6	8	1
408	26	2	17	6	6	8	2
409	26	2	17	6	6	8	3
410	26	2	17	6	7	8	3
411	30	2	9	6	6	11	3
412	30	2	17	6	6	8	3
413	30	2	17	6	6	8	2
414	30	2	8	6	7	8	2
415	12	2	20	6	7	8	1
416	30	2	9	6	1	9	1
417	26	2	9	6	6	15	2
418	12	2	18	6	7	20	3
419	26	2	17	6	6	20	3
420	12	2	18	6	7	8	1
421	26	2	9	6	6	20	1
422	26	2	17	6	6	10	1
423	26	2	17	6	6	11	1
424	30	2	5	6	7	10	1
425	30	2	9	6	6	10	2
426	30	2	17	6	6	10	2
427	26	2	17	6	6	10	2
428	26	2	5	6	7	10	3
429	12	2	18	6	7	10	2
430	30	2	17	6	7	10	2
431	26	2	17	6	7	10	2
432	7	2	20	6	7	10	3
433	12	2	20	6	7	10	1
434	7	2	18	6	7	10	1
435	12	2	20	6	7	10	3
436	7	2	18	6	7	12	3
437	12	2	18	6	7	12	3
438	30	2	9	2	1	8	1
439	30	2	18	6	7	20	2
440	26	2	9	6	1	8	2
441	30	2	20	6	7	15	3
442	26	2	18	6	7	11	3
443	12	2	18	6	7	6	1
444	7	2	9	6	7	11	2
445	30	2	9	4	6	17	1
446	30	2	9	2	7	8	1
447	12	2	18	6	7	11	2
448	30	2	20	6	7	15	1
449	7	2	9	6	7	8	2
450	30	2	17	6	1	10	1
451	30	2	10	6	7	10	1
452	30	2	18	6	7	8	1
453	30	2	7	6	7	8	2
454	30	2	15	6	7	8	2
455	12	2	18	6	7	11	1
456	7	2	18	6	7	8	1
457	30	2	17	6	3	9	1
458	30	2	9	2	6	9	1
459	30	2	9	6	1	8	2
460	30	2	9	6	7	12	2
461	26	2	17	6	1	8	1
462	7	1	18	4	7	20	1
463	7	2	18	4	7	20	1
464	26	2	9	6	1	8	1
465	30	2	18	6	7	11	2
466	12	2	9	6	7	11	2
467	26	2	9	6	3	8	1
468	30	2	17	2	3	11	1
469	30	2	17	2	3	8	1
470	30	2	8	6	7	10	2
471	30	2	8	6	7	10	1
472	30	2	15	6	7	8	1
473	26	2	18	6	7	11	1
474	12	2	20	6	7	11	3
475	7	2	9	6	7	8	3
476	26	2	15	6	6	8	2
477	30	2	9	6	3	9	1
478	7	1	18	6	7	7	3
479	26	2	20	6	7	9	3
480	12	2	20	6	7	9	1
481	7	2	18	6	7	9	2
482	30	2	20	6	7	9	3
483	26	2	9	6	6	15	1
484	7	2	9	6	7	8	1
485	30	2	18	6	7	10	3
486	30	2	9	2	1	9	1
487	30	2	9	2	1	11	1
488	26	2	20	6	3	8	1
489	7	2	18	6	7	11	2
490	7	2	18	6	7	12	1
491	7	2	20	6	7	11	2
492	12	2	9	6	7	10	1
493	30	2	9	2	6	15	1
494	30	2	9	2	6	11	1
495	30	2	9	2	7	8	2
496	12	2	20	6	7	11	1
497	26	2	7	6	7	8	1
498	26	2	8	6	6	8	2
499	26	2	5	6	7	10	2
500	30	2	9	2	7	9	1
501	12	2	18	6	7	15	2
502	26	2	5	6	7	8	1
503	7	2	18	6	7	15	2
504	30	2	17	2	7	8	1
505	30	2	9	6	6	17	2
506	26	2	5	6	7	11	3
507	30	2	9	6	4	9	1
508	30	2	9	6	7	11	3
509	30	2	20	6	7	11	3
510	30	2	20	6	3	11	2
511	26	2	20	6	3	11	2
512	30	2	18	6	7	20	3
513	26	2	20	6	3	20	3
514	30	2	9	6	3	11	2
515	30	2	5	6	6	15	1
516	26	2	5	6	6	11	1
517	26	2	5	6	6	8	1
518	30	2	20	6	7	20	3
519	30	2	8	6	7	9	1
520	26	2	8	6	7	8	2
521	26	2	8	6	7	8	3
522	30	2	9	4	7	15	1
523	12	2	20	6	7	6	1
524	30	2	20	6	7	12	1
525	7	2	18	6	7	6	1
526	12	2	20	6	7	15	2
527	7	2	18	6	7	12	2
528	30	2	9	4	7	8	1
529	30	2	9	6	3	17	1
530	30	2	9	6	1	15	2
531	7	2	20	6	7	11	1
532	30	2	20	6	7	17	2
533	30	2	9	6	3	15	1
534	26	2	5	6	7	8	2
535	30	2	7	6	7	15	1
536	30	2	18	6	7	6	2
537	12	2	18	6	7	12	1
538	30	2	18	6	7	12	2
539	12	2	20	6	7	12	2
540	30	2	9	2	7	11	1
541	30	2	9	6	6	12	1
542	26	2	9	6	6	12	2
543	7	1	18	6	7	1	2
544	12	2	9	6	7	20	2
545	30	2	17	6	1	11	2
546	12	2	18	6	7	15	3
547	26	2	8	6	7	8	1
548	26	2	20	6	7	12	3
549	26	2	20	6	7	15	3
550	30	2	9	6	1	11	2
551	30	2	9	2	7	15	1
552	12	2	18	6	7	12	2
553	30	2	17	4	6	11	1
554	30	2	17	6	6	17	2
555	12	2	18	6	7	9	2
556	30	2	9	6	3	8	2
557	26	2	8	6	6	11	2
558	30	2	9	6	3	20	1
559	26	2	5	6	7	6	2
560	30	2	5	6	6	6	2
561	7	1	18	6	7	2	2
562	26	2	20	6	7	2	2
563	12	2	18	6	7	2	2
564	26	2	9	6	1	10	2
565	7	2	18	6	7	16	2
566	30	2	10	6	7	10	2
567	26	2	10	6	7	10	2
568	7	1	18	6	7	16	3
569	30	2	9	2	6	17	1
570	30	2	15	6	6	8	1
571	30	2	20	6	7	12	3
572	30	2	9	6	6	12	2
573	30	2	17	6	7	16	2
574	26	2	8	6	7	16	2
575	7	1	18	6	7	4	2
576	12	2	9	6	7	12	2
577	26	2	17	6	6	6	1
578	30	2	6	6	7	6	2
579	26	2	18	6	7	16	2
580	30	2	20	6	3	8	1
581	30	2	18	6	7	12	1
582	30	2	9	6	3	10	1
583	7	1	18	4	7	20	2
584	7	2	18	4	7	20	2
585	26	2	20	6	6	11	2
586	30	2	20	6	6	11	2
587	7	1	18	6	7	13	3
588	12	2	20	2	7	8	2
589	26	2	17	6	7	15	1
590	26	2	18	6	7	15	3
591	30	2	18	6	7	15	3
592	30	2	3	6	7	11	1
593	30	2	17	6	1	20	1
594	30	2	9	6	1	20	1
595	26	2	20	6	3	12	2
596	26	2	9	6	7	7	2
597	30	2	17	6	7	17	2
598	26	2	9	6	1	20	3
599	30	2	18	6	7	6	3
600	12	2	18	6	7	6	3
601	12	2	9	6	7	6	1
602	7	2	9	6	7	6	3
603	26	2	8	6	7	6	2
604	30	2	17	6	7	6	3
605	26	2	8	6	7	11	3
606	26	2	8	6	7	11	2
607	30	2	8	6	7	11	2
608	30	2	12	6	7	6	2
609	30	2	12	6	7	20	2
610	30	2	8	6	7	20	3
611	26	2	17	6	6	6	2
612	26	2	5	6	7	6	3
613	26	2	7	6	7	6	2
614	26	2	9	6	7	12	3
615	26	2	20	2	7	10	3
616	26	2	20	2	7	10	2
617	7	2	20	6	7	12	3
618	30	2	17	6	1	8	2
619	26	2	18	6	7	17	3
620	30	2	9	6	6	20	1
621	26	2	15	6	7	20	3
622	26	2	15	6	6	20	3
623	30	2	15	6	6	20	3
624	30	2	15	6	6	7	2
625	30	2	20	6	3	20	1
626	26	2	20	6	3	20	1
627	26	2	2	6	7	6	2
628	30	2	17	6	5	10	1
629	12	2	7	6	7	8	1
630	12	2	9	6	7	11	3
631	30	2	18	6	7	12	3
632	12	2	5	6	7	6	3
633	7	2	18	6	7	11	3
634	30	2	17	6	7	9	2
635	26	2	9	6	1	10	1
636	26	2	9	6	1	10	3
637	30	2	9	6	1	10	2
638	30	2	17	6	5	20	1
639	30	2	17	6	5	16	1
640	30	2	17	2	1	15	1
641	26	2	9	6	1	11	2
642	7	1	18	6	7	4	3
643	30	2	3	6	7	6	2
644	7	2	9	6	7	6	2
645	30	2	5	6	6	6	3
646	26	2	17	6	7	6	1
647	12	2	5	6	7	8	3
648	26	2	5	6	7	8	3
649	26	2	5	6	6	6	1
650	30	2	5	6	6	6	1
651	12	2	3	6	7	6	2
652	30	2	8	6	7	15	1
653	12	2	17	6	7	8	2
654	26	2	9	6	7	7	1
655	30	2	9	6	6	9	2
656	26	2	17	6	6	11	2
657	26	2	12	6	7	20	2
658	12	2	7	6	7	8	2
659	12	2	18	6	7	11	3
660	12	2	20	6	7	12	3
661	30	2	9	6	3	6	1
662	30	2	8	6	6	17	1
663	30	2	8	6	7	15	2
664	7	2	20	6	7	11	3
665	30	2	18	6	7	11	3
666	7	2	9	6	7	20	2
667	30	2	18	6	7	20	1
668	30	2	7	6	7	8	3
669	30	2	17	6	7	8	3
670	30	2	7	6	7	11	2
671	7	2	20	6	7	16	2
672	26	2	9	6	1	6	3
673	7	2	9	6	7	10	3
674	30	2	5	6	7	10	3
675	26	2	20	6	3	10	2
676	30	2	9	6	3	10	2
677	30	2	20	6	3	10	2
678	26	2	9	6	3	10	1
679	26	2	9	6	3	11	1
680	30	2	18	6	7	15	2
681	30	2	5	6	7	20	2
682	26	2	6	6	7	6	1
683	30	2	17	6	3	8	2
684	12	2	20	6	7	15	3
685	12	2	9	6	7	12	3
686	30	2	9	6	7	12	3
687	7	2	9	6	7	11	3
688	30	2	8	6	7	11	1
689	12	2	20	6	7	9	3
690	30	2	5	6	6	11	2
691	30	2	9	6	7	7	2
692	7	2	9	6	7	10	2
693	26	2	7	6	7	10	1
694	30	2	7	6	7	10	3
695	26	2	9	6	7	1	2
696	30	2	9	6	7	1	2
697	26	2	8	6	7	10	2
698	26	2	5	6	7	10	1
699	7	1	18	6	7	7	2
700	12	2	20	6	7	9	2
701	30	2	18	6	7	9	2
702	30	2	9	6	7	7	1
703	30	2	20	6	7	7	2
704	12	2	20	6	7	12	1
705	30	2	9	6	1	17	2
706	26	2	20	6	3	8	2
707	26	2	17	6	7	11	1
708	30	2	17	6	6	7	1
709	30	2	17	6	1	7	1
710	30	2	9	6	1	7	2
711	30	2	9	6	1	7	1
712	30	2	17	6	7	7	1
713	12	2	20	6	7	7	2
714	30	2	17	6	6	7	2
715	30	2	17	6	7	7	2
716	26	2	20	6	7	7	1
717	7	2	20	6	7	7	1
718	30	2	9	6	6	7	1
719	30	2	9	6	6	7	2
720	26	2	9	6	6	9	1
721	26	2	8	6	7	10	1
722	30	2	12	6	7	8	1
723	12	2	5	6	7	10	3
724	26	2	20	2	7	8	1
725	26	2	20	2	7	8	2
726	26	2	12	6	7	8	2
727	30	2	8	6	7	8	1
728	26	2	15	6	7	8	2
729	26	2	9	6	7	15	3
730	26	2	18	6	7	7	3
731	26	2	18	6	7	7	1
732	30	2	20	6	7	7	3
733	7	2	18	6	7	7	3
734	26	2	17	6	7	7	2
735	30	2	17	6	1	7	2
736	26	2	9	6	7	7	3
737	12	2	20	6	7	7	3
738	26	2	20	6	7	7	3
739	26	2	9	6	1	7	2
740	26	2	17	6	1	7	2
741	26	2	9	6	6	7	2
742	30	2	9	6	7	7	3
743	26	2	12	6	7	20	3
744	7	1	18	6	7	3	1
745	7	1	18	6	7	3	3
746	30	2	18	6	7	6	1
747	30	2	17	6	7	12	1
748	30	2	7	6	7	20	2
749	30	2	17	6	6	20	1
750	26	2	9	6	6	17	1
751	30	2	17	6	5	11	1
752	26	2	17	6	6	15	2
753	30	2	9	6	4	11	1
754	30	2	17	6	5	12	1
755	26	2	9	6	3	8	2
756	26	2	17	6	7	7	1
757	7	2	18	6	7	11	1
758	26	2	18	6	7	17	2
759	7	2	18	6	7	3	2
760	30	2	9	6	7	15	3
761	7	1	18	6	7	7	1
762	12	2	18	6	7	9	1
763	12	2	9	6	7	15	1
764	12	2	18	6	7	7	2
765	30	2	3	6	7	7	2
766	7	2	18	6	7	7	2
767	12	2	9	6	7	15	2
768	12	2	9	6	7	11	1
769	30	2	10	6	6	10	2
770	30	2	17	6	6	12	1
771	30	2	5	6	7	15	1
772	7	2	18	6	7	15	3
773	26	2	17	6	1	8	2
774	26	2	7	6	1	8	3
775	30	2	20	6	3	10	1
776	26	2	20	6	3	10	1
777	7	1	18	6	7	2	3
778	30	2	18	6	7	9	3
779	26	2	17	6	7	9	1
780	30	2	9	6	3	17	2
781	26	2	18	6	3	10	2
782	26	2	20	6	7	3	2
783	26	2	17	6	7	15	2
784	30	2	20	6	7	7	1
785	30	2	7	6	7	7	2
786	12	2	9	6	7	7	2
787	30	2	5	6	7	7	2
788	26	2	5	6	7	7	2
789	26	2	17	6	6	7	2
790	12	2	5	6	7	20	2
791	26	2	6	6	7	6	2
792	30	2	9	4	7	11	2
793	7	2	9	6	7	12	2
794	30	2	9	6	4	15	1
795	26	2	5	6	7	11	2
796	26	2	5	6	7	9	2
797	30	2	7	6	7	11	1
798	26	2	3	6	7	8	2
799	12	2	9	6	7	15	3
800	12	2	18	6	7	3	2
801	26	2	18	6	7	3	2
802	12	2	9	6	7	20	1
803	30	2	7	2	7	8	2
804	30	2	20	2	7	8	2
805	30	2	9	2	7	11	2
806	26	2	9	6	1	8	3
807	30	2	17	6	1	20	2
808	30	2	8	6	7	12	2
809	30	2	8	6	7	8	3
810	7	2	20	6	7	15	3
811	26	2	15	6	7	8	1
812	26	2	15	6	6	8	1
813	26	2	7	6	1	20	1
814	7	1	18	6	7	1	3
815	30	2	8	6	6	8	2
816	26	2	9	6	1	11	1
817	26	2	18	6	7	3	3
818	30	2	7	6	6	11	2
819	30	2	5	6	7	11	2
820	26	2	18	6	7	3	1
821	30	2	5	6	7	15	2
822	30	2	9	2	1	17	1
823	26	2	5	6	6	7	3
824	26	2	17	6	6	7	1
825	26	2	5	6	6	7	1
826	26	2	5	6	6	9	1
827	7	2	20	6	7	7	3
828	30	2	18	6	7	7	2
829	30	2	5	6	7	7	1
830	26	2	17	6	7	9	2
831	26	2	12	6	6	20	3
832	30	2	12	6	6	20	2
833	30	2	17	4	6	8	2
834	26	2	20	6	3	11	1
835	26	2	7	6	3	11	1
836	30	2	20	6	7	3	2
837	30	2	20	6	7	3	1
838	26	2	17	6	6	15	1
839	26	2	7	6	7	20	2
840	26	2	9	6	6	9	2
841	30	2	20	6	6	10	1
842	26	2	17	6	7	16	2
843	30	2	8	6	7	16	2
844	12	2	18	6	7	15	1
845	26	2	7	6	6	20	2
846	12	2	9	6	7	9	2
847	26	2	18	6	7	2	2
848	30	2	9	6	7	2	2
849	26	2	9	6	7	2	1
850	26	2	18	6	7	2	1
851	26	2	7	6	6	8	2
852	26	2	15	6	7	8	3
853	30	2	15	6	6	9	1
854	30	2	9	6	7	3	2
855	12	2	20	6	7	15	1
856	12	2	18	6	7	7	3
857	30	2	17	6	7	7	3
858	30	2	8	6	7	7	2
859	30	2	8	6	7	9	2
860	12	2	9	6	7	7	3
861	30	2	20	6	6	8	2
862	26	2	9	6	1	15	1
863	7	1	18	2	7	20	3
864	7	2	9	6	7	10	1
865	7	2	20	6	7	17	2
866	30	2	18	6	7	11	1
867	26	2	9	6	7	9	3
868	7	2	18	6	7	3	1
